iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
47,15,140,0.5254693174667113,0.32444830206356273,0.9257518214330874,1353986,152.94230318069458,23,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1
7,19,172,0.5256806387522771,0.31931879050035905,0.925692090541133,1358082,175.67115664482117,24,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1
91,18,168,0.5259511559105378,0.35982354751298595,0.9256155926251369,1357570,155.47193336486816,22,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0
92,15,140,0.5264189116303111,0.2949251538551086,0.9254832259459951,1353986,146.47301292419434,22,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
13,18,168,0.5265373320154885,0.2836518949712029,0.9254496963845567,1357570,166.34932398796082,23,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0
68,17,168,0.5269113533315056,0.2921146150117116,0.925343746419224,1357570,177.80805087089539,26,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1
36,21,192,0.5273955912343995,0.36515199789107516,0.9252064633668687,1360642,146.07663583755493,21,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0
2,16,148,0.5286098346301641,0.2875546157535247,0.9248616667632834,1355010,189.83638048171997,26,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
94,18,164,0.5290992621856142,0.3170189849414093,0.9247224646796333,1357058,142.13981747627258,21,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
82,14,136,0.5305584132167028,0.3010475424748118,0.9243066910756476,1353474,196.78519105911255,29,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1
112,13,116,0.530559509859841,0.2861901794670671,0.9243063781652062,1350914,267.8844256401062,40,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0
31,20,180,0.5307152828294385,0.3486306627857802,0.9242619241465215,1359106,170.82895827293396,24,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
37,16,152,0.530722978061587,0.3297492549723687,0.9242597277662008,1355522,171.09407424926758,26,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1
142,20,184,0.5320219889485143,0.2832847716985389,0.9238885064320411,1359618,198.6569538116455,29,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0
35,21,204,0.5367042637289298,0.3070727905728543,0.9225429111553856,1362178,153.2820110321045,22,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
148,15,128,0.5370137624080328,0.2768010904540358,0.9224535517801605,1352450,189.06818652153015,28,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
