iteration,rmse,mae,r2,total_params,training_time,epochs_trained,weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type
5,0.5071669511286148,0.32433255557761725,0.9308339505875446,417666,159.94657015800476,22,0.005,4,4,4,4,0.0003,0.25,256,64,64,ReduceLROnPlateau
15,0.5072248545359507,0.2931413951873198,0.9308181562675589,2033346,171.9034881591797,21,0.005,3,4,8,4,0.0003,0.25,256,160,64,ReduceLROnPlateau
94,0.5072709799076042,0.2701527944747792,0.930805573353624,1069922,151.74846529960632,24,0.005,3,3,8,8,0.0003,0.25,1024,96,64,ReduceLROnPlateau
115,0.5093889701630754,0.2938403049725969,0.9302265571032491,3019458,158.40695595741272,21,0.005,4,4,2,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
14,0.5097177409651621,0.3741735039631097,0.930136461420193,1362690,156.1032829284668,21,0.005,1,4,8,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
119,0.5099222861612819,0.31023949633705283,0.9300803789363904,283906,85.45175361633301,22,0.005,1,2,2,4,0.0003,0.25,512,64,64,ReduceLROnPlateau
113,0.5107944069039425,0.34085848611772207,0.9298410071764902,1362690,137.22080636024475,21,0.005,3,4,4,8,0.0003,0.25,256,128,64,ReduceLROnPlateau
97,0.51175007380809,0.29862330621857663,0.9295782347239259,416834,136.99062514305115,25,0.005,3,2,2,8,0.0003,0.25,512,64,64,ReduceLROnPlateau
91,0.5119867708260467,0.3024349136416034,0.9295130760555932,625250,146.69351625442505,26,0.005,3,2,4,8,0.0003,0.25,256,96,64,ReduceLROnPlateau
112,0.5125042344251214,0.27781329639883123,0.9293705221783164,3019458,190.27826571464539,25,0.005,4,2,4,8,0.0003,0.25,1024,160,64,ReduceLROnPlateau
51,0.5141688301647093,0.3380607728662566,0.9289109729656141,773474,136.16617226600647,22,0.005,3,2,4,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
129,0.5142785393493969,0.29632882870772864,0.928880632926331,1069922,153.56693983078003,28,0.005,1,3,4,8,0.0003,0.25,1024,96,64,ReduceLROnPlateau
138,0.5152274779747493,0.2888722312900239,0.9286179341237393,283906,95.5361442565918,22,0.005,2,2,8,4,0.0003,0.25,512,64,64,ReduceLROnPlateau
2,0.515399821778232,0.32210445827007606,0.9285701714759205,1207426,119.11807656288147,21,0.005,1,2,2,4,0.0003,0.25,512,160,64,ReduceLROnPlateau
86,0.515475889395826,0.2858760706535963,0.9285490853303108,317762,162.6452305316925,30,0.005,2,3,8,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
80,0.5158516993004875,0.35479847035216644,0.928444864162061,1229442,130.60891437530518,21,0.005,1,3,2,8,0.0003,0.25,512,128,64,ReduceLROnPlateau
