weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
5e-05,1,3,2,8,0.002,0.1,256,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.1239538950208248,5.248219080815766,2.290899186087368,-0.4112470117547766,32,,5.247857896314021,192.6266529560089,62
1e-06,2,4,4,4,0.002,0.2,1024,160,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.1365006674518283,5.310294543665559,2.304407634006093,-0.42793911437112686,31,1.80440924339369,5.310356021660749,259.4260244369507,8
0.0005,1,4,8,4,0.002,0.1,1024,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.145897114177798,5.357969418678789,2.3147288002439486,-0.44075889644618194,37,1.6630722595044158,5.360016735460377,421.83473205566406,68
1e-06,1,4,4,2,0.002,0.15,512,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.1621551926291622,5.4421201151049265,2.332835209590452,-0.4633870331607055,33,,5.441060589706638,320.8497121334076,96
5e-05,1,2,8,4,0.002,0.4,128,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.3269550374628947,5.471740129774131,2.339175096005883,-0.47135186018990605,30,,,230.04333472251892,25
1e-06,1,4,4,4,0.002,0.2,128,256,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.3283118823961217,5.478386279044116,2.340595283051753,-0.47313901086950105,30,,,258.96670866012573,90
1e-06,3,2,8,8,0.002,0.4,512,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.3282955738934734,5.483221350337584,2.3416279273910243,-0.4744391623703157,30,,,298.3600535392761,26
1e-05,3,1,2,2,0.002,0.1,1024,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.1903349730626855,5.592966234403389,2.364945292052945,-0.5039495805347127,32,,5.592931108624973,234.32907581329346,83
0.001,3,2,2,8,0.002,0.1,1024,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.271847770755307,6.064929990691474,2.4627078573577244,-0.6308607156191481,31,,6.063056445568912,245.6396131515503,4
0.0001,1,4,4,4,0.002,0.3,1024,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.2965815560039684,6.218610332988261,2.4937141642514407,-0.6721853860439353,42,,6.221135324047458,322.4567928314209,45
1e-05,2,3,2,4,0.002,0.5,1024,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,3.1297379944179617,11.755927518877606,3.428691808675374,-2.1611709278803564,31,,11.7604260735823,200.0196635723114,58
